Tutorial Class: G-10
Chosen Group Size: 5
Group No. | Member
1 | G-10,3329,MAE,Adrian Castillo,Male,4.07,0
1 | G-10,594,MAE,Ananya Singh,Female,4.2,0
1 | G-10,560,SoH,Ayesha Javed,Female,4.09,0
1 | G-10,5624,EEE,Cheng Zhang,Male,4.11,0
1 | G-10,298,MAE,Freya Chen,Female,4.09,0
-------End of Group 1-------
2 | G-10,3794,CoB (NBS),Christopher Miller,Male,4.17,0.
2 | G-10,2253,EEE,Dante Wu,Male,4.18,0
2 | G-10,611,SPMS,Hendra Mulyana,Male,4.1,
2 | G-10,565,SoH,Isaiah Scott,Male,4.15,0
2 | G-10,375,SBS,Kaya Chang,Female,4.05,0
-------End of Group 2-------
3 | G-10,403,SoH,Hae-Jin Lee,Female,4.52,0
3 | G-10,5734,MAE,Hassan Malik,Male,4.03,0
3 | G-10,2581,ASE,Alyssa Green,Female,3.94,
3 | G-10,3395,CoB (NBS),Michael Miller,Male,3.95,0.
3 | G-10,1139,SPMS,Nurul Aini Binti Ahmad,Female,4.2,
-------End of Group 3-------
4 | G-10,5122,CCEB,Kerry Lim,Female,4.01,
4 | G-10,2031,CCDS,Kendrick Alvarado,Male,4.18,0.54
4 | G-10,223,MAE,Jaxon Hall,Male,4.12,0
4 | G-10,435,WKW SCI,Kiran Farooq,Female,4.15,
4 | G-10,4020,CoB (NBS),Leo Xu,Male,4.12,0.
-------End of Group 4-------
5 | G-10,2631,CCDS,Kiara Lin,Female,4.06,0.54
5 | G-10,3499,CCDS,Kira Yamada,Female,4.26,0.54
5 | G-10,3111,CEE,Marco Garcia,Male,4.04,
5 | G-10,171,CCEB,Nina Bennett,Female,4.08,
5 | G-10,5420,NIE,Nina Patil,Female,4.1,
-------End of Group 5-------
6 | G-10,3732,CCDS,Liam Jones,Male,4.2,0.54
6 | G-10,3843,EEE,Mia Zhang,Female,4.18,0
6 | G-10,4108,MAE,Rizan Bin Ahmad,Male,4.11,0
6 | G-10,2255,CoE,Xander Cook,Male,4.1,
6 | G-10,3051,LKCMedicine,Hunter Wilson,Male,4.06,
-------End of Group 6-------
7 | G-10,4588,CoB (NBS),Paula Wong,Female,4.06,0.
7 | G-10,1468,MAE,Ming Wei,Male,4.19,0
7 | G-10,5121,MSE,Ximena Fernandez,Female,4.12,0
7 | G-10,3364,MAE,Rhea Kapoor,Female,4,0
7 | G-10,3189,CCEB,Rhea Lee,Female,4.07,
-------End of Group 7-------
8 | G-10,5695,WKW SCI,Rhys Tan,Male,4.06,
8 | G-10,4308,MAE,Sho Nakajima,Male,4.27,0
8 | G-10,2405,ASE,Soo-Young Kim,Female,3.88,
8 | G-10,5856,MAE,Sophie Cheung,Female,4.2,0
8 | G-10,3841,SBS,Benjamin Turner,Male,4.06,0
-------End of Group 8-------
9 | G-10,2515,CoE,Tanya Lee,Female,4.04,
9 | G-10,16,EEE,Tatum Flores,Female,4.2,0
9 | G-10,516,ADM,Tao Liu,Male,4.05,
9 | G-10,2857,SoH,Tianming,Female,4.2,0
9 | G-10,3903,CoE,Xiao Chen,Male,3.86,
-------End of Group 9-------
10 | G-10,2863,MAE,Will Chen,Male,4.23,0
10 | G-10,3963,SSS,Yasmine Villanueva,Female,4.02,
10 | G-10,4077,SoH,Yasir Ahmad,Male,4.52,0
10 | G-10,3388,EEE,Zaki Bin Ibrahim,Male,4,0
10 | G-10,4477,SPMS,Yuzhi,Male,4.25,
-------End of Group 10-------
